run,kernel_down_ns,kernel_first_move_ns,trial,action,ui_down_ns,ui_first_move_ns,gl_down_ns,gl_first_move_ns,applied_ns,first_render_ns,half_lane_ns,ninety_lane_ns
1.4-cruise-8,1141780641692499,1141780649654792,13,2,1141780643703333,1141780658879168,1141780645127968,1141780660639584,1141780662252345,1141780675553388,1141780724134903,1141780828256476
1.4-cruise-8,1141781648706297,1141781656636715,14,3,1141781651368589,1141781666081299,1141781662939163,1141781678712134,1141781680669321,1141781694155885,0,0
1.4-cruise-8,1141782655692492,1141782663632388,15,4,1141782658162596,1141782674425723,1141782666081815,1141782681535150,1141782683287546,1141782697583173,0,0
1.4-cruise-8,1141783662849571,1141783670676811,16,1,1141783664834363,1141783680085875,1141783669716968,1141783683827906,1141783685500719,1141783699362439,1141783748465621,1141783851327871
1.4-cruise-8,1141784669687640,1141784677715870,17,2,1141784673768838,1141784686924673,1141784687039881,1141784687139621,1141784688821600,1141784700590664,1141784750198169,1141784853634898
1.4-cruise-8,1141785676703470,1141785684718158,18,3,1141785678798261,1141785693365190,1141785688772950,1141785704906441,1141785706851285,1141785721003318,0,0
1.4-cruise-8,1141786683596955,1141786691649300,19,4,1141786686132268,1141786701085499,1141786694350550,1141786707863781,1141786709821489,1141786724893209,0,0
1.4-cruise-8,1141787690541483,1141787698657004,20,1,1141787692539556,1141787707937422,1141787695877160,1141787710666276,1141787712195339,1141787725942320,1141787774129981,1141787878204001
1.4-cruise-8,1141788697526531,1141788705677678,21,2,1141788699688771,1141788715241845,1141788699801896,1141788729021482,1141788730873201,1141788744911067,1141788777432060,1141788897739884
1.4-cruise-8,1141789704542465,1141789712645226,22,3,1141789707012725,1141789720087831,1141789716856216,1141789732245957,1141789734043561,1141789747880333,0,0
1.4-cruise-8,1141790711709336,1141790719512045,23,4,1141790714014753,1141790728942931,1141790719868868,1141790734826786,1141790736596526,1141790750575173,0,0
1.4-cruise-8,1141791718695530,1141791726848395,24,1,1141791720876988,1141791735818865,1141791722286936,1141791737721886,1141791739482459,1141791753430117,1141791785575276,1141791904870496
1.4-cruise-8,1141792725703390,1141792733653079,25,2,1141792727792974,1141792743227246,1141792740066569,1141792756321258,1141792757826571,1141792771555687,1141792804647096,1141792925290442
1.4-cruise-8,1141793732687137,1141793740632919,26,3,1141793735032241,1141793750358128,1141793742412294,1141793758303858,1141793760103962,1141793773714120,0,0
1.4-cruise-8,1141794740075310,1141794747529894,27,4,1141794742157550,1141794756834478,1141794747209217,1141794761833802,1141794763612552,1141794778040678,0,0
1.4-cruise-8,1141795746721244,1141795754659890,28,1,1141795749352390,1141795763717079,1141795749582650,1141795780193695,1141795781768851,1141795796053071,1141795829405783,1141795948358816
1.4-cruise-8,1141796753685302,1141796761653011,29,2,1141796756009104,1141796770843637,1141796766973689,1141796782636086,1141796784405670,1141796798532807,1141796830846404,1141796950863291
1.4-cruise-8,1141797760584569,1141797768663737,30,3,1141797763015403,1141797778093269,1141797770060768,1141797785041082,1141797787087957,1141797801236813,0,0
1.4-cruise-8,1141798767540972,1141798775638368,31,4,1141798769547065,1141798785091130,1141798773605399,1141798788379099,1141798790229620,1141798804291340,0,0
1.4-cruise-8,1141799774541853,1141799782674771,32,1,1141799776725030,1141799792022167,1141799790451282,1141799806771700,1141799808334148,1141799822894983,1141799855781288,1141799974559269
1.4-cruise-8,1141800781691172,1141800789644194,33,2,1141800783943672,1141800797489455,1141800793853986,1141800809570185,1141800811189300,1141800825065239,1141800857150971,1141800977574056
1.4-cruise-8,1141801788784345,1141801796526950,34,3,1141801791678617,1141801805946795,1141801797381690,1141801812054192,1141801813867265,1141801827744506,0,0
1.4-cruise-8,1141802795675019,1141802803640957,35,4,1141802798107467,1141802812915385,1141802800089030,1141802815300385,1141802817038510,1141802831248199,0,0
1.4-cruise-8,1141803802705327,1141803810684026,36,1,1141803804794755,1141803820387673,1141803817378402,1141803833923976,1141803835624601,1141803849621738,1141803882318096,1141804001548160
1.4-cruise-8,1141804809774751,1141804817639543,37,2,1141804812260584,1141804824547565,1141804820471575,1141804836631472,1141804838267305,1141804852318765,1141804885389914,1141805003862374
1.4-cruise-8,1141805816637611,1141805824727404,38,3,1141805818499851,1141805834284176,1141805824099591,1141805839473447,1141805841227874,1141805854820844,0,0
1.4-cruise-8,1141806823680680,1141806831652192,39,4,1141806826612608,1141806840799849,1141806827147399,1141806841481307,1141806843265943,1141806856906517,0,0
1.4-cruise-8,1141807830699270,1141807838678281,40,1,1141807833007500,1141807848165782,1141807843293803,1141807860506200,1141807862098700,1141807876119587,1141807908776934,1141808028246477
1.4-cruise-8,1141808837690100,1141808845632757,41,2,1141808840303954,1141808855129060,1141808848311299,1141808862979738,1141808864668227,1141808877938541,1141808928081932,1141809030884494
1.4-cruise-8,1141809844769523,1141809852539367,42,3,1141809847020461,1141809861818743,1141809850784836,1141809865112962,1141809866942494,1141809881089318,0,0
1.4-cruise-8,1141810851683634,1141810859516916,43,4,1141810853673790,1141810868858583,1141810855232436,1141810883791293,1141810885410356,1141810900902597,0,0
1.4-cruise-8,1141811858690401,1141811866646131,44,1,1141811861134828,1141811875292434,1141811871234048,1141811886739153,1141811888284206,1141811902413374,1141811935254158,1141812054690941
1.4-cruise-8,1141812865554095,1141812873639304,45,2,1141812867929512,1141812883287274,1141812874435294,1141812889616649,1141812891293316,1141812905341755,1141812937304883,1141813057450416
1.4-cruise-8,1141813872643518,1141813880640081,46,3,1141813874606904,1141813890045134,1141813878221435,1141813892124562,1141813893855916,1141813908354928,0,0
1.4-cruise-8,1141814879927368,1141814887548150,47,4,1141814882096014,1141814897045287,1141814894921953,1141814911687267,1141814913428257,1141814927790081,0,0
1.4-fast-8,1142344828582974,1142344836410631,0,1,1142344831127401,1142344845642194,1142344835190370,1142344848867507,1142344850511205,1142344865196935,1142344912766836,1142345016981899
1.4-fast-8,1142345835680313,1142345843468856,1,2,1142345837455730,1142345852724638,1142345838367762,1142345867653129,1142345869323858,1142345883736412,1142345915194332,1142346036567365
1.4-fast-8,1142346842678955,1142346850530571,2,3,1142346845306560,1142346858409686,1142346854375050,1142346870652708,1142346872418385,1142346886511043,0,0
1.4-fast-8,1142347849566191,1142347857529629,3,4,1142347851703066,1142347867078849,1142347857777494,1142347873349475,1142347875180256,1142347889235674,0,0
1.4-fast-8,1142348856415458,1142348864527073,4,1,1142348858423062,1142348873906397,1142348861004990,1142348876192856,1142348877830200,1142348892117857,1142348939717393,1142349042635268
